"volume","interment id","message"
"08","58892","Unable geocode residence place: 82 Hampden Brooklyn New York United States"
"08","58912","Has an infant name but is missing last name"
"08","59279","Unable geocode residence place: 3 Columbia  New York United States"
"08","59454","Unable to parse death date: February 31, 1858"
"08","59457","Unable to parse death date: February 31, 1858"
"08","59458","Unable to parse death date: February 31, 1858"
"08","59461","Unable to parse death date: February 30, 1858"
"08","59463","Unable to parse death date: February 31, 1858"
"08","59464","Unable to parse death date: February 31, 1858"
"08","59465","Unable to parse death date: February 31, 1858"
"08","59470","Unable to parse death date: February 31, 1858"
"08","59471","Unable to parse death date: February 31, 1858"
"08","59474","Unable to parse death date: February 31, 1858"
"08","59475","Unable to parse death date: February 31, 1858"
"08","59478","Unable to parse death date: February 31, 1858"
"08","59479","Unable to parse death date: February 31, 1858"
"08","59496","Unable to parse death date: February 31, 1858"
"08","59498","Unable to parse death date: February 31, 1858"
"08","59832","Has an infant name but is missing last name"
"08","60413","Unable geocode residence place: 139 Sixth Ave  New York United States"
"08","60766","Unable geocode residence place: 14 Columbia  New York United States"
"08","61107","Unable geocode residence place: 31 Talman Brooklyn New York United States"
"08","62946","Unable to parse death date: June 31, 1858"
"08","62949","Unable to parse death date: June 31, 1858"
"08","62950","Unable to parse death date: June 31, 1858"
"08","62951","Unable to parse death date: June 31, 1858"
"08","62964","Unable to parse death date: Januray 17, 1858"
"08","63491","Has an infant name but is missing last name"
"08","63498","Has an infant name but is missing last name"
"08","63600","Unable geocode residence place: 135 1/2 Allen  New York United States"
"08","64308","Unable geocode residence place: 31 Talman Brooklyn New York United States"
"08","64734","Unable to parse death date: September 31, 1858"
"08","64735","Unable to parse death date: September 31, 1858"
"08","64743","Unable to parse death date: September 31, 1858"
"08","64744","Unable to parse death date: September 31, 1858"
"08","64746","Unable to parse death date: September 31, 1858"
"08","64747","Unable to parse death date: September 31, 1858"
"08","64748","Unable to parse death date: September 31, 1858"
"08","64750","Unable to parse death date: September 31, 1858"
"08","64752","Unable to parse death date: September 31, 1858"
"08","64753","Unable to parse death date: September 31, 1858"
"08","64778","Unable to parse death date: September 31, 1858"
"08","65133","Unable geocode birth place: Not Known"
"08","65222","Unable geocode birth place: Madeira New York United States"
"08","65800","Unable to parse death date: November 31, 1858"
"08","65801","Unable to parse death date: November 31, 1858"
"08","65805","Unable to parse death date: November 31, 1858"
"08","65807","Unable to parse death date: November 31, 1858"
"08","65813","Unable to parse death date: November 31, 1858"
"08","65817","Unable to parse death date: November 31, 1858"
"08","65823","Unable to parse death date: November 31, 1858"
"08","65825","Unable to parse death date: November 31, 1858"
"08","65826","Unable to parse death date: November 31, 1858"
"08","65866","Unable to parse death date: November 31, 1858"
"08","66012","Unable to parse death date: November 31, 1858"
"08","66162","Unable geocode birth place: Baston  United States"
"08","66231","Unable geocode residence place: ?"
"08","66231","Unable geocode death place: ?"
"08","66864","Unable geocode residence place: 26 Essex  New York United States"
"08","66916","Unable geocode residence place: 72 Pike  New York United States"
"08","67181","Unable to parse death date: February 30, 1859"
"08","67182","Unable to parse death date: February 30, 1859"
"08","67183","Unable to parse death date: February 31, 1859"
"08","67184","Unable to parse death date: February 31, 1859"
"08","67185","Unable to parse death date: February 31, 1859"
"08","67186","Unable to parse death date: February 31, 1859"
"08","67187","Unable to parse death date: February 30, 1859"
"08","67188","Unable to parse death date: February 29, 1859"
"08","67189","Unable to parse death date: February 30, 1859"
"08","67190","Unable to parse death date: February 30, 1859"
"08","67191","Unable to parse death date: February 31, 1859"
"08","67192","Unable to parse death date: February 30, 1859"
"08","67195","Unable to parse death date: February 31, 1859"
"08","67203","Unable to parse death date: February 31, 1859"
"08","67204","Unable to parse death date: February 30, 1859"
"08","67205","Unable to parse death date: February 31, 1859"
"08","67206","Unable to parse death date: February 31, 1859"
"08","67207","Unable to parse death date: February 31, 1859"
"08","67208","Unable to parse death date: February 29, 1859"
"08","67209","Unable to parse death date: February 31, 1859"
"08","67223","Unable to parse death date: February 29, 1859"
"08","67224","Unable to parse death date: February 31, 1859"
"08","67250","Unable to parse death date: February 31, 1859"
"08","67270","Unable to parse death date: February 31, 1859"
"08","67287","Unable geocode residence place: 63 Columbia Brooklyn New York United States"
"08","68222","Unable geocode residence place: 125 Goerck  New York United States"
"08","68599","Unable geocode residence place: 119 Allen  New York United States"
"08","68814","Unable geocode residence place: 95 West 32rd  New York United States"
"08","69196","Unable to parse death date: June 31, 1859"
