"volume","interment id","message"
"11","87028","Has an infant name but is missing last name"
"11","87032","Has an infant name but is missing last name"
"11","87036","Has an infant name but is missing last name"
"11","87042","Has an infant name but is missing last name"
"11","87052","Has an infant name but is missing last name"
"11","87061","Has an infant name but is missing last name"
"11","87068","Has an infant name but is missing last name"
"11","87078","Has an infant name but is missing last name"
"11","87089","Has an infant name but is missing last name"
"11","87099","Has an infant name but is missing last name"
"11","87156","Has an infant name but is missing last name"
"11","87188","Has an infant name but is missing last name"
"11","87199","Has an infant name but is missing last name"
"11","87202","Has an infant name but is missing last name"
"11","87218","Has an infant name but is missing last name"
"11","87231","Has an infant name but is missing last name"
"11","87273","Has an infant name but is missing last name"
"11","87287","Has an infant name but is missing last name"
"11","87290","Has an infant name but is missing last name"
"11","87316","Has an infant name but is missing last name"
"11","87319","Has an infant name but is missing last name"
"11","87364","Has an infant name but is missing last name"
"11","87371","Has an infant name but is missing last name"
"11","87392","Has an infant name but is missing last name"
"11","87411","Has an infant name but is missing last name"
"11","87466","Has an infant name but is missing last name"
"11","87473","Has an infant name but is missing last name"
"11","87483","Has an infant name but is missing last name"
"11","87520","Has an infant name but is missing last name"
"11","87530","Has an infant name but is missing last name"
"11","87535","Has an infant name but is missing last name"
"11","87539","Has an infant name but is missing last name"
"11","87545","Has an infant name but is missing last name"
"11","87552","Has an infant name but is missing last name"
"11","87552","Unable to parse death date: December 0, 1861"
"11","87554","Has an infant name but is missing last name"
"11","87575","Has an infant name but is missing last name"
"11","87580","Has an infant name but is missing last name"
"11","87601","Has an infant name but is missing last name"
"11","87605","Has an infant name but is missing last name"
"11","87642","Has an infant name but is missing last name"
"11","87658","Has an infant name but is missing last name"
"11","87669","Unable geocode residence place: Ship Champion   At Sea"
"11","87671","Unable to parse death date: December 0, 1861"
"11","87680","Has an infant name but is missing last name"
"11","87689","Has an infant name but is missing last name"
"11","87712","Has an infant name but is missing last name"
"11","87714","Has an infant name but is missing last name"
"11","87721","Has an infant name but is missing last name"
"11","87733","Has an infant name but is missing last name"
"11","87738","Has an infant name but is missing last name"
"11","87742","Has an infant name but is missing last name"
"11","87746","Has an infant name but is missing last name"
"11","87748","Has an infant name but is missing last name"
"11","87771","Has an infant name but is missing last name"
"11","87772","Has an infant name but is missing last name"
"11","87773","Has an infant name but is missing last name"
"11","87793","Has an infant name but is missing last name"
"11","87795","Has an infant name but is missing last name"
"11","87801","Has an infant name but is missing last name"
"11","87821","Has an infant name but is missing last name"
"11","87822","Has an infant name but is missing last name"
"11","87847","Has an infant name but is missing last name"
"11","87855","Has an infant name but is missing last name"
"11","87874","Has an infant name but is missing last name"
"11","87889","Has an infant name but is missing last name"
"11","87913","Has an infant name but is missing last name"
"11","87923","Has an infant name but is missing last name"
"11","87926","Has an infant name but is missing last name"
"11","87951","Has an infant name but is missing last name"
"11","87980","Has an infant name but is missing last name"
"11","88006","Has an infant name but is missing last name"
"11","88013","Has an infant name but is missing last name"
"11","88026","Has an infant name but is missing last name"
"11","88123","Has an infant name but is missing last name"
"11","88132","Has an infant name but is missing last name"
"11","88135","Has an infant name but is missing last name"
"11","88149","Has an infant name but is missing last name"
"11","88163","Has an infant name but is missing last name"
"11","88166","Has an infant name but is missing last name"
"11","88175","Has an infant name but is missing last name"
"11","88185","Has an infant name but is missing last name"
"11","88194","Has an infant name but is missing last name"
"11","88204","Has an infant name but is missing last name"
"11","88207","Has an infant name but is missing last name"
"11","88253","Has an infant name but is missing last name"
"11","88277","Has an infant name but is missing last name"
"11","88288","Has an infant name but is missing last name"
"11","88314","Has an infant name but is missing last name"
"11","88315","Has an infant name but is missing last name"
"11","88332","Has an infant name but is missing last name"
"11","88370","Has an infant name but is missing last name"
"11","88372","Has an infant name but is missing last name"
"11","88384","Unable geocode residence place: On Board Brig   At Sea"
"11","88402","Has an infant name but is missing last name"
"11","88409","Has an infant name but is missing last name"
"11","88410","Has an infant name but is missing last name"
"11","88423","Has an infant name but is missing last name"
"11","88465","Has an infant name but is missing last name"
"11","88470","Has an infant name but is missing last name"
"11","88505","Has an infant name but is missing last name"
"11","88515","Has an infant name but is missing last name"
"11","88530","Has an infant name but is missing last name"
"11","88539","Has an infant name but is missing last name"
"11","88574","Has an infant name but is missing last name"
"11","88592","Has an infant name but is missing last name"
"11","88611","Has an infant name but is missing last name"
"11","88616","Has an infant name but is missing last name"
"11","88633","Has an infant name but is missing last name"
"11","88643","Has an infant name but is missing last name"
"11","88665","Has an infant name but is missing last name"
"11","88677","Has an infant name but is missing last name"
"11","88703","Has an infant name but is missing last name"
"11","88721","Has an infant name but is missing last name"
"11","88732","Has an infant name but is missing last name"
"11","88733","Has an infant name but is missing last name"
"11","88755","Has an infant name but is missing last name"
"11","88769","Has an infant name but is missing last name"
"11","88807","Has an infant name but is missing last name"
"11","88816","Has an infant name but is missing last name"
"11","88825","Has an infant name but is missing last name"
"11","88854","Has an infant name but is missing last name"
"11","88856","Has an infant name but is missing last name"
"11","88861","Has an infant name but is missing last name"
"11","88866","Has an infant name but is missing last name"
"11","88878","Has an infant name but is missing last name"
"11","88886","Has an infant name but is missing last name"
"11","88911","Has an infant name but is missing last name"
"11","88927","Has an infant name but is missing last name"
"11","88930","Has an infant name but is missing last name"
"11","88933","Has an infant name but is missing last name"
"11","88935","Has an infant name but is missing last name"
"11","88936","Has an infant name but is missing last name"
